"date","hour","total_infection","datetime","cumulative_case"
"11/24/2023","7:00:00",0,2023-11-24 07:00:00,162
"11/24/2023","8:00:00",0,2023-11-24 08:00:00,162
"11/24/2023","9:00:00",0,2023-11-24 09:00:00,162
"11/24/2023","10:00:00",0,2023-11-24 10:00:00,162
"11/24/2023","11:00:00",0,2023-11-24 11:00:00,162
"11/24/2023","12:00:00",0,2023-11-24 12:00:00,162
"11/24/2023","13:00:00",0,2023-11-24 13:00:00,162
"11/24/2023","14:00:00",0,2023-11-24 14:00:00,162
"11/24/2023","15:00:00",0,2023-11-24 15:00:00,162
"11/24/2023","16:00:00",0,2023-11-24 16:00:00,162
"11/24/2023","17:00:00",0,2023-11-24 17:00:00,162
"11/24/2023","18:00:00",0,2023-11-24 18:00:00,162
"11/24/2023","19:00:00",0,2023-11-24 19:00:00,162
"11/24/2023","20:00:00",0,2023-11-24 20:00:00,162
"11/24/2023","21:00:00",0,2023-11-24 21:00:00,162
"11/24/2023","22:00:00",0,2023-11-24 22:00:00,162
"11/24/2023","23:00:00",0,2023-11-24 23:00:00,162
"11/25/2023","0:00:00",0,2023-11-25,162
"11/25/2023","1:00:00",0,2023-11-25 01:00:00,162
"11/25/2023","2:00:00",0,2023-11-25 02:00:00,162
"11/25/2023","3:00:00",0,2023-11-25 03:00:00,162
"11/25/2023","4:00:00",0,2023-11-25 04:00:00,162
"11/25/2023","5:00:00",0,2023-11-25 05:00:00,162
"11/25/2023","6:00:00",0,2023-11-25 06:00:00,162
"11/25/2023","7:00:00",0,2023-11-25 07:00:00,162
"11/25/2023","8:00:00",0,2023-11-25 08:00:00,162
"11/25/2023","9:00:00",0,2023-11-25 09:00:00,162
"11/25/2023","10:00:00",0,2023-11-25 10:00:00,162
"11/25/2023","11:00:00",0,2023-11-25 11:00:00,162
"11/25/2023","12:00:00",0,2023-11-25 12:00:00,162
"11/25/2023","13:00:00",0,2023-11-25 13:00:00,162
"11/25/2023","14:00:00",0,2023-11-25 14:00:00,162
"11/25/2023","15:00:00",0,2023-11-25 15:00:00,162
"11/25/2023","16:00:00",0,2023-11-25 16:00:00,162
"11/25/2023","17:00:00",0,2023-11-25 17:00:00,162
"11/25/2023","18:00:00",0,2023-11-25 18:00:00,162
"11/25/2023","19:00:00",0,2023-11-25 19:00:00,162
"11/25/2023","20:00:00",0,2023-11-25 20:00:00,162
"11/25/2023","21:00:00",0,2023-11-25 21:00:00,162
"11/25/2023","22:00:00",0,2023-11-25 22:00:00,162
"11/25/2023","23:00:00",0,2023-11-25 23:00:00,162
"11/26/2023","0:00:00",0,2023-11-26,162
"11/26/2023","1:00:00",0,2023-11-26 01:00:00,162
"11/26/2023","2:00:00",0,2023-11-26 02:00:00,162
"11/26/2023","3:00:00",0,2023-11-26 03:00:00,162
"11/26/2023","4:00:00",0,2023-11-26 04:00:00,162
"11/26/2023","5:00:00",0,2023-11-26 05:00:00,162
"11/26/2023","6:00:00",0,2023-11-26 06:00:00,162
"11/26/2023","7:00:00",0,2023-11-26 07:00:00,162
"11/26/2023","8:00:00",0,2023-11-26 08:00:00,162
"11/26/2023","9:00:00",0,2023-11-26 09:00:00,162
"11/26/2023","10:00:00",0,2023-11-26 10:00:00,162
"11/26/2023","11:00:00",0,2023-11-26 11:00:00,162
"11/26/2023","12:00:00",0,2023-11-26 12:00:00,162
"11/26/2023","13:00:00",0,2023-11-26 13:00:00,162
"11/26/2023","14:00:00",0,2023-11-26 14:00:00,162
"11/26/2023","15:00:00",0,2023-11-26 15:00:00,162
"11/26/2023","16:00:00",0,2023-11-26 16:00:00,162
"11/26/2023","17:00:00",0,2023-11-26 17:00:00,162
"11/26/2023","18:00:00",0,2023-11-26 18:00:00,162
"11/26/2023","19:00:00",0,2023-11-26 19:00:00,162
"11/26/2023","20:00:00",0,2023-11-26 20:00:00,162
"11/26/2023","21:00:00",0,2023-11-26 21:00:00,162
"11/26/2023","22:00:00",0,2023-11-26 22:00:00,162
"11/26/2023","23:00:00",0,2023-11-26 23:00:00,162
"11/27/2023","0:00:00",0,2023-11-27,162
"11/27/2023","1:00:00",0,2023-11-27 01:00:00,162
"11/27/2023","2:00:00",0,2023-11-27 02:00:00,162
"11/27/2023","3:00:00",0,2023-11-27 03:00:00,162
"11/27/2023","4:00:00",0,2023-11-27 04:00:00,162
"11/27/2023","5:00:00",0,2023-11-27 05:00:00,162
"11/27/2023","6:00:00",0,2023-11-27 06:00:00,162
"11/27/2023","7:00:00",0,2023-11-27 07:00:00,162
"11/27/2023","8:00:00",0,2023-11-27 08:00:00,162
"11/27/2023","9:00:00",0,2023-11-27 09:00:00,162
